Supplementary Table 2. List of genes with pathogenic variant frequencies in Pan-cancer compared to controls																		
																		
Gene Symbol	Ensenbl ID	Gene set	Inheritance	Case-control (PTVs)					Case-control (ClinVar Pathogenic variants)					Case-control (PTVs + ClinVar Pathogenic variants)				
				PCAWG (%)	1KG (%)	Log2 (Odds ratio)	P-value	FDR	PCAWG (%)	1KG (%)	Log2 (Odds ratio)	P-value	FDR	PCAWG (%)	1KG (%)	Log2 (Odds ratio)	P-value	FDR
C9	ENSG00000113600	OMIM	Other	0.23	0.12	1.24	0.261	0.306	0.15	0.00	1.26	0.450	0.510	0.38	0.12	1.49	0.152	0.180
CABP4	ENSG00000175544	OMIM	AR	-	-	-	-	-	0.00	0.12	-2.07	0.235	0.276	0.00	0.16	-2.36	0.160	0.190
CACNA1S	ENSG00000081248	OMIM	AD	0.04	0.08	-0.40	0.785	0.815	-	-	-	-	-	0.04	0.08	-0.40	0.785	0.814
CACNA2D4	ENSG00000151062	OMIM	AR	0.11	0.04	0.93	0.562	0.624	-	-	-	-	-	0.11	0.04	0.93	0.562	0.621
CACNB2	ENSG00000165995	OMIM	Other	0.08	0.04	0.54	0.729	0.778	-	-	-	-	-	0.11	0.04	0.77	0.604	0.663
CALCR	ENSG00000004948	OMIM	AD	0.15	0.00	2.49	0.116	0.138	-	-	-	-	-	0.15	0.00	2.49	0.116	0.138
CANT1	ENSG00000171302	OMIM	AR	-	-	-	-	-	-	-	-	-	-	0.00	0.12	-1.56	0.392	0.449
CAPN3	ENSG00000092529	OMIM	ADAR	-	-	-	-	-	0.38	0.24	0.02	0.983	0.985	0.38	0.24	0.02	0.983	0.985
CAPN5	ENSG00000149260	OMIM	AD	0.08	0.08	0.99	0.454	0.516	-	-	-	-	-	0.08	0.08	0.99	0.454	0.513
CARD14	ENSG00000141527	OMIM	AD	0.11	0.16	0.98	0.377	0.435	-	-	-	-	-	0.11	0.16	0.98	0.377	0.432
CARKD	ENSG00000213995	OMIM	AR	-	-	-	-	-	0.11	0.00	1.11	0.513	0.574	0.15	0.00	1.29	0.435	0.493
CASP10	ENSG00000003400	OMIM	AD	0.11	0.00	1.18	0.482	0.545	0.15	0.04	1.58	0.192	0.227	0.26	0.04	1.81	0.122	0.145
CASP12	ENSG00000204403	OMIM	Other	0.23	0.20	0.67	0.460	0.523	-	-	-	-	-	0.23	0.20	0.67	0.460	0.520
CASP14	ENSG00000105141	OMIM	AR	0.08	0.08	-0.32	0.801	0.828	-	-	-	-	-	0.08	0.08	-0.32	0.801	0.827
CASQ1	ENSG00000143318	OMIM	AD	0.34	0.28	0.40	0.570	0.633	-	-	-	-	-	0.34	0.28	0.40	0.570	0.629
CASQ2	ENSG00000118729	OMIM	AR	0.04	0.08	-0.42	0.767	0.803	-	-	-	-	-	0.08	0.08	-0.11	0.931	0.943
CBLB	ENSG00000114423	SOD	Not OMIM	0.08	0.16	-0.20	0.860	0.883	-	-	-	-	-	0.08	0.16	-0.20	0.860	0.882
CBS	ENSG00000160200	OMIM	AR	-	-	-	-	-	0.45	0.16	0.14	0.865	0.885	0.49	0.16	0.23	0.780	0.811
CC2D1A	ENSG00000132024	OMIM	AR	0.08	0.08	-0.63	0.620	0.680	-	-	-	-	-	0.08	0.08	-0.63	0.620	0.678
CC2D2A	ENSG00000048342	OMIM	AR	0.08	0.16	-1.36	0.239	0.281	-	-	-	-	-	0.11	0.16	-1.03	0.336	0.389
CCDC108	ENSG00000181378	OMIM	AR	0.11	0.16	-0.38	0.730	0.779	-	-	-	-	-	0.11	0.16	-0.38	0.730	0.777
CCDC11	ENSG00000172361	OMIM	AR	0.11	0.08	-0.10	0.928	0.942	-	-	-	-	-	0.11	0.08	-0.10	0.928	0.941
CCDC40	ENSG00000141519	OMIM	Other	0.11	0.00	2.51	0.182	0.216	0.11	0.00	2.51	0.182	0.216	0.11	0.00	2.51	0.182	0.215
CCDC73	ENSG00000186714	SOD	Not OMIM	0.11	0.16	-0.50	0.637	0.696	-	-	-	-	-	0.11	0.16	-0.50	0.637	0.693
CCDC8	ENSG00000169515	OMIM	AR	0.08	0.04	0.35	0.797	0.824	-	-	-	-	-	0.08	0.04	0.35	0.797	0.824
CCR5	ENSG00000160791	OMIM	Other	0.23	0.20	-0.08	0.936	0.947	-	-	-	-	-	0.23	0.20	-0.08	0.936	0.947
CCT5	ENSG00000150753	OMIM	AR	-	-	-	-	-	0.00	0.12	-1.85	0.265	0.311	0.00	0.12	-1.85	0.265	0.310
CD207	ENSG00000116031	OMIM	Other	0.08	0.08	-0.66	0.630	0.689	-	-	-	-	-	0.08	0.08	-0.66	0.630	0.687
CD209	ENSG00000090659	SOD	Not OMIM	0.11	0.04	1.41	0.295	0.345	-	-	-	-	-	0.11	0.04	1.41	0.295	0.344
CD36	ENSG00000135218	OMIM	AR	0.87	0.56	1.44	0.012	0.015	0.53	0.28	1.42	0.040	0.048	1.14	0.84	1.14	0.017	0.021
CDAN1	ENSG00000140326	OMIM	AR	-	-	-	-	-	0.08	0.08	-0.87	0.487	0.548	0.08	0.08	-0.87	0.487	0.546
CDC6	ENSG00000094804	OMIM	AR	0.11	0.00	1.19	0.481	0.544	-	-	-	-	-	0.11	0.00	1.19	0.481	0.541
CDH15	ENSG00000129910	OMIM	AD	-	-	-	-	-	-	-	-	-	-	0.00	0.12	-0.96	0.565	0.624
CDH17	ENSG00000079112	SOD	Not OMIM	0.23	0.28	0.43	0.654	0.712	-	-	-	-	-	0.23	0.28	0.43	0.654	0.709
CDK10	ENSG00000185324	OMIM	AR	0.04	0.08	-0.10	0.949	0.957	-	-	-	-	-	0.04	0.08	-0.10	0.949	0.957
CECR1	ENSG00000093072	OMIM	AR	-	-	-	-	-	0.15	0.08	0.05	0.968	0.972	0.23	0.08	0.35	0.751	0.791
CENPE	ENSG00000138778	OMIM	AR	-	-	-	-	-	0.04	0.08	-1.36	0.342	0.396	0.04	0.08	-1.36	0.342	0.396
CENPF	ENSG00000117724	OMIM	AR	0.38	0.08	1.37	0.235	0.277	-	-	-	-	-	0.38	0.08	1.37	0.235	0.276
CENPJ	ENSG00000151849	OMIM	AR	0.11	0.40	-0.74	0.508	0.570	-	-	-	-	-	0.15	0.44	-0.61	0.557	0.616
CEP152	ENSG00000103995	OMIM	AR	-	-	-	-	-	0.00	0.12	-0.04	0.981	0.984	0.00	0.12	-0.04	0.981	0.984
CEP164	ENSG00000110274	OMIM	AR	0.15	0.08	1.15	0.341	0.396	-	-	-	-	-	0.15	0.08	1.15	0.341	0.395
CEP290	ENSG00000198707	OMIM	AR	-	-	-	-	-	0.19	0.08	0.96	0.473	0.533	0.19	0.08	0.96	0.473	0.533
CEP55	ENSG00000138180	OMIM	AR	0.11	0.00	1.08	0.526	0.589	-	-	-	-	-	0.11	0.00	1.08	0.526	0.586
CERKL	ENSG00000188452	OMIM	Other	0.15	0.00	1.95	0.228	0.268	0.11	0.04	1.32	0.376	0.433	0.15	0.04	1.67	0.241	0.283
CERS3	ENSG00000154227	OMIM	AR	0.04	0.08	-0.70	0.623	0.683	-	-	-	-	-	0.04	0.08	-0.70	0.623	0.681
CETP	ENSG00000087237	OMIM	AD	0.23	0.08	1.68	0.173	0.206	-	-	-	-	-	0.23	0.08	1.68	0.173	0.205
CFHR5	ENSG00000134389	OMIM	AD	0.68	0.16	0.91	0.282	0.330	-	-	-	-	-	0.68	0.16	0.91	0.282	0.329
CFI	ENSG00000205403	OMIM	AD	-	-	-	-	-	0.04	0.12	-0.94	0.455	0.515	0.04	0.12	-0.94	0.455	0.515
CFTR	ENSG00000001626	OMIM	ADAR	0.38	0.04	1.46	0.208	0.245	1.02	0.36	0.49	0.443	0.503	1.10	0.36	0.74	0.242	0.284
CHI3L1	ENSG00000133048	OMIM	AD	0.04	0.20	-1.62	0.184	0.218	-	-	-	-	-	0.04	0.20	-1.62	0.184	0.218
CHIT1	ENSG00000133063	OMIM	AR	0.04	0.16	0.11	0.934	0.946	-	-	-	-	-	0.04	0.16	0.11	0.934	0.946
CHRNA1	ENSG00000138435	OMIM	ADAR	-	-	-	-	-	-	-	-	-	-	0.08	0.08	1.27	0.432	0.490
CHRNA2	ENSG00000120903	OMIM	AD	0.08	0.08	0.62	0.641	0.699	-	-	-	-	-	0.08	0.08	0.62	0.641	0.696
CHRNA3	ENSG00000080644	OMIM	Other	0.11	0.20	-0.57	0.618	0.678	-	-	-	-	-	0.11	0.20	-0.57	0.618	0.676
CHRNA4	ENSG00000101204	OMIM	AD	0.11	0.00	1.08	0.525	0.588	-	-	-	-	-	0.11	0.00	1.08	0.525	0.585
CHRNA5	ENSG00000169684	OMIM	Other	0.23	0.08	1.80	0.152	0.181	-	-	-	-	-	0.23	0.08	1.80	0.152	0.181
CHRND	ENSG00000135902	OMIM	AR	0.04	0.08	-0.25	0.853	0.876	-	-	-	-	-	0.04	0.08	-0.25	0.853	0.875
CHRNE	ENSG00000108556	OMIM	AR	0.15	0.00	1.27	0.445	0.507	0.11	0.00	1.09	0.521	0.582	0.15	0.00	1.27	0.445	0.504
CHRNG	ENSG00000196811	OMIM	AR	-	-	-	-	-	0.15	0.04	1.03	0.416	0.475	0.15	0.04	1.03	0.416	0.473
CIITA	ENSG00000179583	OMIM	AR	0.08	0.08	0.31	0.830	0.855	-	-	-	-	-	0.08	0.08	0.31	0.830	0.853
CILP	ENSG00000138615	OMIM	Other	0.08	0.04	0.53	0.731	0.779	-	-	-	-	-	0.08	0.04	0.53	0.731	0.777
CLCN1	ENSG00000188037	OMIM	ADAR	0.04	0.12	-1.05	0.484	0.546	0.19	0.20	-0.84	0.379	0.436	0.19	0.28	-1.19	0.186	0.220
CLCN2	ENSG00000114859	OMIM	AD	0.04	0.08	0.14	0.929	0.942	-	-	-	-	-	0.04	0.08	0.14	0.929	0.941
CLCNKA	ENSG00000186510	OMIM	Other	0.26	0.12	0.00	0.999	0.999	-	-	-	-	-	0.26	0.12	0.00	0.999	1.000
CLN3	ENSG00000188603	OMIM	AR	-	-	-	-	-	0.08	0.04	0.16	0.909	0.926	0.08	0.04	0.16	0.909	0.925
CLN8	ENSG00000182372	OMIM	AR	-	-	-	-	-	0.00	0.12	-1.78	0.270	0.316	0.00	0.12	-1.78	0.270	0.316
CLPB	ENSG00000162129	OMIM	AR	-	-	-	-	-	-	-	-	-	-	0.04	0.08	-0.38	0.800	0.826
CLTCL1	ENSG00000070371	SOD	Not OMIM	0.38	0.48	0.51	0.495	0.558	-	-	-	-	-	0.38	0.48	0.51	0.495	0.555
CNBD1	ENSG00000176571	SOD	Not OMIM	0.08	0.12	-0.59	0.624	0.684	-	-	-	-	-	0.08	0.12	-0.59	0.624	0.682
CNGA1	ENSG00000198515	OMIM	Other	0.08	0.12	0.59	0.642	0.700	0.19	0.24	-0.72	0.460	0.520	0.23	0.28	-0.18	0.848	0.871
CNGA3	ENSG00000144191	OMIM	AR	-	-	-	-	-	0.11	0.20	-0.57	0.616	0.675	0.15	0.24	-0.82	0.410	0.467
CNGB3	ENSG00000170289	OMIM	AR	0.34	0.04	1.65	0.185	0.220	0.11	0.08	0.50	0.721	0.772	0.38	0.08	1.56	0.174	0.206
CNKSR1	ENSG00000142675	SOD	Not OMIM	0.04	0.12	-0.81	0.572	0.634	-	-	-	-	-	0.04	0.12	-0.81	0.572	0.631
CNTN2	ENSG00000184144	OMIM	AR	0.00	0.12	-1.72	0.345	0.400	-	-	-	-	-	0.00	0.12	-1.72	0.345	0.399
CNTRL	ENSG00000119397	SOD	Not OMIM	0.30	0.16	0.72	0.430	0.491	-	-	-	-	-	0.30	0.16	0.72	0.430	0.488
COASY	ENSG00000068120	OMIM	AR	0.19	0.20	-0.15	0.883	0.904	-	-	-	-	-	0.19	0.20	-0.15	0.883	0.902
COL10A1	ENSG00000123500	OMIM	AD	0.08	0.12	-0.28	0.821	0.846	-	-	-	-	-	0.08	0.12	-0.28	0.821	0.845
COL17A1	ENSG00000065618	OMIM	AR	0.15	0.00	1.63	0.317	0.369	-	-	-	-	-	0.15	0.04	0.40	0.751	0.791
COL18A1	ENSG00000182871	OMIM	AR	0.26	0.00	2.61	0.103	0.123	0.15	0.00	2.17	0.195	0.231	0.26	0.00	2.61	0.103	0.123
COL4A2	ENSG00000134871	OMIM	AD	0.08	0.04	1.39	0.349	0.405	-	-	-	-	-	0.08	0.04	1.39	0.349	0.403
COL4A3	ENSG00000169031	OMIM	AD	-	-	-	-	-	0.04	0.16	-0.32	0.830	0.853	0.04	0.20	-0.48	0.738	0.782
COL4A4	ENSG00000081052	OMIM	ADAR	0.08	0.04	1.28	0.353	0.410	0.15	0.20	0.09	0.924	0.938	0.23	0.24	0.53	0.528	0.588
COL6A3	ENSG00000163359	OMIM	AR	0.08	0.12	-0.07	0.960	0.966	-	-	-	-	-	0.08	0.12	-0.07	0.960	0.966
COL7A1	ENSG00000114270	CPG	Not OMIM	0.23	0.04	1.05	0.389	0.448	0.26	0.12	0.33	0.744	0.787	0.45	0.16	0.48	0.576	0.635
COLEC11	ENSG00000118004	OMIM	AR	0.08	0.12	-0.14	0.912	0.928	-	-	-	-	-	0.08	0.12	-0.14	0.912	0.927
COLGALT1	ENSG00000130309	OMIM	AR	-	-	-	-	-	-	-	-	-	-	0.11	0.04	1.11	0.394	0.450
COLQ	ENSG00000206561	OMIM	AR	-	-	-	-	-	0.04	0.12	-1.27	0.364	0.420	0.08	0.16	-1.05	0.369	0.424
CORIN	ENSG00000145244	OMIM	Other	0.23	0.28	-0.26	0.744	0.787	-	-	-	-	-	0.23	0.28	-0.26	0.744	0.786
COX10	ENSG00000006695	OMIM	AR	-	-	-	-	-	0.04	0.08	-1.51	0.292	0.340	0.04	0.08	-1.51	0.292	0.340
COX15	ENSG00000014919	OMIM	AR	-	-	-	-	-	0.04	0.08	0.14	0.935	0.947	0.11	0.08	0.64	0.660	0.714
COX6A2	ENSG00000156885	OMIM	AR	0.11	0.00	1.00	0.561	0.623	-	-	-	-	-	0.11	0.00	1.00	0.561	0.620
CPA6	ENSG00000165078	OMIM	AR	0.08	0.12	0.30	0.810	0.836	-	-	-	-	-	0.11	0.12	0.47	0.693	0.745
CPAMD8	ENSG00000160111	OMIM	AR	0.08	0.04	0.73	0.641	0.699	-	-	-	-	-	0.08	0.04	0.73	0.641	0.696
CPOX	ENSG00000080819	OMIM	AD	-	-	-	-	-	0.11	0.04	2.06	0.215	0.254	0.11	0.12	0.47	0.698	0.749
CPS1	ENSG00000021826	OMIM	AR	0.11	0.00	1.98	0.228	0.268	-	-	-	-	-	0.11	0.00	1.98	0.228	0.267
CPT1C	ENSG00000169169	OMIM	AD	0.08	0.12	-0.35	0.797	0.825	-	-	-	-	-	0.08	0.12	-0.35	0.797	0.824
CPT2	ENSG00000157184	OMIM	AR	-	-	-	-	-	0.26	0.04	2.04	0.098	0.117	0.26	0.08	1.95	0.099	0.118
CR2	ENSG00000117322	OMIM	AR	0.23	0.08	-0.29	0.781	0.812	-	-	-	-	-	0.23	0.08	-0.29	0.781	0.811
CRAT	ENSG00000095321	OMIM	AR	-	-	-	-	-	-	-	-	-	-	0.08	0.04	2.01	0.158	0.187
CRB1	ENSG00000134376	OMIM	AR	0.19	0.00	3.53	0.104	0.124	0.30	0.12	2.11	0.082	0.097	0.42	0.12	3.06	0.011	0.013
CRB2	ENSG00000148204	OMIM	AR	0.19	0.00	2.69	0.135	0.161	-	-	-	-	-	0.19	0.04	1.36	0.319	0.370
CRYBA4	ENSG00000196431	OMIM	Other	0.04	0.08	0.24	0.868	0.890	-	-	-	-	-	0.04	0.08	0.24	0.868	0.888
CSF2RB	ENSG00000100368	OMIM	AR	0.34	0.16	1.28	0.129	0.153	-	-	-	-	-	0.34	0.16	1.28	0.129	0.153
CSF3R	ENSG00000119535	OMIM	AR	0.08	0.04	0.30	0.836	0.860	0.08	0.04	0.30	0.836	0.858	0.08	0.04	0.30	0.836	0.859
CSMD3	ENSG00000164796	SOD	Not OMIM	0.08	0.08	-0.09	0.944	0.954	-	-	-	-	-	0.08	0.08	-0.09	0.944	0.953
CSPP1	ENSG00000104218	OMIM	AR	0.08	0.04	0.28	0.839	0.863	-	-	-	-	-	0.08	0.04	0.28	0.839	0.862
CTC1	ENSG00000178971	OMIM	AR	-	-	-	-	-	0.11	0.12	-0.66	0.566	0.626	0.11	0.12	-0.66	0.566	0.625
CTH	ENSG00000116761	OMIM	AR	0.11	0.00	2.04	0.214	0.252	-	-	-	-	-	0.11	0.00	2.04	0.214	0.251
CTNS	ENSG00000040531	OMIM	AR	-	-	-	-	-	0.08	0.04	0.33	0.820	0.844	0.11	0.04	0.97	0.473	0.533
CTSC	ENSG00000109861	OMIM	AR	-	-	-	-	-	-	-	-	-	-	0.08	0.04	0.53	0.708	0.758
CTSK	ENSG00000143387	OMIM	AR	0.11	0.00	1.13	0.504	0.566	-	-	-	-	-	0.11	0.00	1.13	0.504	0.563
CUBN	ENSG00000107611	OMIM	AR	0.34	0.40	1.18	0.124	0.148	0.11	0.00	1.81	0.270	0.316	0.34	0.40	1.18	0.124	0.148
CUL7	ENSG00000044090	OMIM	AR	0.19	0.08	0.83	0.514	0.576	-	-	-	-	-	0.19	0.08	0.83	0.514	0.574
CYP17A1	ENSG00000148795	OMIM	AR	0.11	0.00	1.49	0.374	0.432	-	-	-	-	-	0.15	0.00	1.63	0.319	0.371
CYP1B1	ENSG00000138061	OMIM	AR	0.30	0.04	1.41	0.267	0.312	0.49	0.00	2.30	0.133	0.158	0.53	0.04	1.95	0.099	0.118
CYP24A1	ENSG00000019186	OMIM	AR	-	-	-	-	-	0.49	0.08	0.93	0.330	0.382	0.53	0.08	1.15	0.225	0.264
CYP27A1	ENSG00000135929	OMIM	AR	0.15	0.12	0.14	0.908	0.925	0.04	0.20	-1.39	0.259	0.304	0.19	0.28	-0.65	0.475	0.535
CYP2C8	ENSG00000138115	SOD	Not OMIM	0.23	0.56	-0.35	0.635	0.694	-	-	-	-	-	0.23	0.56	-0.35	0.635	0.692
CYP2C9	ENSG00000138109	OMIM	AD	0.11	0.04	1.84	0.180	0.214	-	-	-	-	-	0.11	0.04	1.84	0.180	0.213
CYP2R1	ENSG00000186104	OMIM	AR	0.23	0.08	1.16	0.361	0.418	-	-	-	-	-	0.23	0.08	1.16	0.361	0.416
CYP3A5	ENSG00000106258	OMIM	Other	0.08	0.12	-0.25	0.853	0.877	-	-	-	-	-	0.08	0.12	-0.25	0.853	0.875
CYP4V2	ENSG00000145476	OMIM	AR	-	-	-	-	-	0.08	0.04	1.36	0.421	0.480	0.08	0.04	1.36	0.421	0.478
CYP7B1	ENSG00000172817	OMIM	AR	0.15	0.08	0.11	0.920	0.934	0.11	0.04	0.38	0.771	0.804	0.15	0.08	0.11	0.920	0.934
DAG1	ENSG00000173402	OMIM	AR	-	-	-	-	-	0.19	0.08	1.26	0.218	0.257	0.19	0.08	1.26	0.218	0.256
DARS2	ENSG00000117593	OMIM	AR	0.04	0.12	0.22	0.893	0.912	-	-	-	-	-	0.04	0.12	0.22	0.893	0.911
DBH	ENSG00000123454	OMIM	AR	0.15	0.00	1.22	0.463	0.525	-	-	-	-	-	0.15	0.00	1.22	0.463	0.522
DBT	ENSG00000137992	OMIM	AR	0.00	0.24	-1.08	0.502	0.564	0.19	0.24	0.27	0.785	0.813	0.19	0.24	0.27	0.785	0.814
DCHS1	ENSG00000166341	OMIM	ADAR	-	-	-	-	-	0.11	0.08	0.69	0.532	0.593	0.11	0.08	0.69	0.532	0.592
DDB2	ENSG00000134574	CPG	Not OMIM	-	-	-	-	-	-	-	-	-	-	0.11	0.00	1.16	0.490	0.550
DDX10	ENSG00000178105	SOD	Not OMIM	0.11	0.00	1.76	0.283	0.330	-	-	-	-	-	0.11	0.00	1.76	0.283	0.329
DDX41	ENSG00000183258	OMIM	AD	0.04	0.12	-2.26	0.082	0.098	-	-	-	-	-	0.08	0.12	-1.63	0.156	0.184
DDX58	ENSG00000107201	OMIM	AD	0.19	0.28	0.30	0.782	0.813	-	-	-	-	-	0.19	0.28	0.30	0.782	0.812
DFNA5	ENSG00000105928	OMIM	AD	0.34	0.08	1.12	0.262	0.307	-	-	-	-	-	0.34	0.08	1.12	0.262	0.306
DGUOK	ENSG00000114956	OMIM	AR	-	-	-	-	-	-	-	-	-	-	0.11	0.00	1.19	0.478	0.538
DHCR7	ENSG00000172893	OMIM	AR	0.26	0.04	1.36	0.341	0.396	0.61	0.08	1.78	0.101	0.121	0.61	0.12	1.65	0.108	0.129
DHODH	ENSG00000102967	OMIM	AR	0.15	0.00	1.97	0.225	0.265	0.04	0.08	-0.95	0.542	0.602	0.19	0.08	0.81	0.512	0.572
DHTKD1	ENSG00000181192	OMIM	ADAR	0.26	0.08	1.15	0.292	0.341	-	-	-	-	-	0.26	0.08	1.15	0.292	0.340
DHX16	ENSG00000204560	OMIM	Other	0.11	0.12	-0.30	0.810	0.836	-	-	-	-	-	0.11	0.12	-0.30	0.810	0.835
DHX38	ENSG00000140829	OMIM	AR	0.11	0.00	2.49	0.169	0.201	-	-	-	-	-	0.11	0.00	2.49	0.169	0.200
DIABLO	ENSG00000184047	OMIM	AD	0.08	0.04	0.95	0.566	0.628	-	-	-	-	-	0.08	0.04	0.95	0.566	0.625
DIAPH3	ENSG00000139734	OMIM	AD	0.30	0.04	1.74	0.220	0.259	-	-	-	-	-	0.30	0.04	1.74	0.220	0.258
DIS3	ENSG00000083520	SOD	Not OMIM	0.15	0.00	2.37	0.155	0.184	-	-	-	-	-	0.15	0.00	2.37	0.155	0.183
DMGDH	ENSG00000132837	OMIM	AR	0.34	0.24	-0.61	0.462	0.524	0.00	0.44	-1.70	0.270	0.316	0.34	0.68	-1.02	0.155	0.184
DMPK	ENSG00000104936	OMIM	AD	0.11	0.00	3.72	0.038	0.046	-	-	-	-	-	0.11	0.00	3.72	0.038	0.046
DNA2	ENSG00000138346	OMIM	ADAR	0.15	0.00	1.36	0.410	0.470	-	-	-	-	-	0.15	0.00	1.36	0.410	0.467
DNAAF2	ENSG00000165506	OMIM	Other	-	-	-	-	-	-	-	-	-	-	0.08	0.04	1.39	0.336	0.389
DNAH1	ENSG00000114841	OMIM	AR	0.19	0.16	0.58	0.605	0.667	0.19	0.28	-1.37	0.122	0.145	0.26	0.44	-1.01	0.198	0.233
DNAH11	ENSG00000105877	OMIM	AR	0.26	0.08	1.64	0.153	0.181	-	-	-	-	-	0.26	0.08	1.64	0.153	0.181
DNAH17	ENSG00000187775	OMIM	AR	0.26	0.24	0.24	0.783	0.814	-	-	-	-	-	0.26	0.24	0.24	0.783	0.813
DNAH5	ENSG00000039139	OMIM	Other	0.64	0.16	1.84	0.037	0.045	0.38	0.04	1.76	0.127	0.152	0.68	0.16	1.86	0.034	0.041
DNAH9	ENSG00000007174	OMIM	AR	0.08	0.24	0.22	0.863	0.886	-	-	-	-	-	0.08	0.24	0.22	0.863	0.884
DNAI2	ENSG00000171595	OMIM	Other	0.04	0.16	-0.18	0.899	0.917	-	-	-	-	-	0.04	0.16	-0.18	0.899	0.916
DNASE1	ENSG00000213918	OMIM	AD	0.23	0.04	2.66	0.118	0.140	-	-	-	-	-	0.23	0.04	2.66	0.118	0.140
DNMBP	ENSG00000107554	OMIM	AR	0.11	0.00	1.00	0.560	0.622	-	-	-	-	-	0.11	0.00	1.00	0.560	0.619
DNMT3A	ENSG00000119772	OMIM	AD	-	-	-	-	-	-	-	-	-	-	0.04	0.08	-0.59	0.680	0.732
DOCK6	ENSG00000130158	OMIM	AR	0.19	0.00	1.48	0.360	0.417	-	-	-	-	-	0.23	0.04	1.87	0.232	0.272
DOK7	ENSG00000175920	OMIM	AR	-	-	-	-	-	0.19	0.00	1.65	0.308	0.358	0.19	0.00	1.65	0.308	0.358
DPH1	ENSG00000108963	OMIM	AR	0.11	0.04	0.65	0.619	0.679	-	-	-	-	-	0.11	0.04	0.65	0.619	0.677
DPYD	ENSG00000188641	OMIM	AR	0.11	0.16	-0.73	0.499	0.561	0.08	0.04	0.54	0.727	0.776	0.11	0.16	-0.73	0.499	0.559
DPYS	ENSG00000147647	OMIM	AR	0.11	0.04	1.14	0.469	0.532	0.08	0.16	-0.98	0.382	0.439	0.19	0.20	-0.31	0.743	0.785
DSC3	ENSG00000134762	OMIM	AR	0.08	0.20	0.08	0.946	0.955	-	-	-	-	-	0.08	0.20	0.08	0.946	0.955
DSG4	ENSG00000175065	OMIM	AR	0.08	0.04	0.78	0.553	0.616	-	-	-	-	-	0.08	0.04	0.78	0.553	0.613
DSP	ENSG00000096696	OMIM	ADAR	0.08	0.08	-0.15	0.910	0.926	-	-	-	-	-	0.08	0.08	-0.15	0.910	0.925
DST	ENSG00000151914	OMIM	AR	0.08	0.04	0.03	0.982	0.984	-	-	-	-	-	0.08	0.04	0.03	0.982	0.985
DUOX2	ENSG00000140279	OMIM	AR	0.23	0.16	0.95	0.354	0.410	0.30	0.16	1.34	0.125	0.149	0.49	0.32	1.18	0.101	0.120
DUSP6	ENSG00000139318	OMIM	AD	-	-	-	-	-	0.26	0.04	1.27	0.307	0.357	0.26	0.04	1.27	0.307	0.356
DYNC2H1	ENSG00000187240	OMIM	AR	0.30	0.40	0.46	0.568	0.630	0.15	0.40	-0.04	0.964	0.970	0.30	0.56	-0.20	0.783	0.813
DYSF	ENSG00000135636	OMIM	AR	0.15	0.12	0.53	0.632	0.691	0.15	0.16	-0.02	0.983	0.985	0.23	0.24	0.24	0.776	0.808
EARS2	ENSG00000103356	OMIM	AR	-	-	-	-	-	-	-	-	-	-	0.11	0.00	1.19	0.477	0.537
ECE1	ENSG00000117298	OMIM	AD	-	-	-	-	-	0.15	0.00	1.25	0.451	0.511	0.15	0.00	1.25	0.451	0.510
ECEL1	ENSG00000171551	OMIM	AR	-	-	-	-	-	0.04	0.08	-0.53	0.719	0.770	0.04	0.08	-0.53	0.719	0.768
ECHS1	ENSG00000127884	OMIM	AR	0.11	0.00	1.23	0.463	0.525	0.19	0.08	0.91	0.457	0.517	0.30	0.08	1.27	0.270	0.316
ECM1	ENSG00000143369	OMIM	AR	0.11	0.00	2.37	0.156	0.186	-	-	-	-	-	0.11	0.00	2.37	0.156	0.185
ECT2L	ENSG00000203734	SOD	Not OMIM	1.10	0.68	0.09	0.864	0.887	-	-	-	-	-	1.10	0.68	0.09	0.864	0.885
EEF2	ENSG00000167658	OMIM	AD	0.15	0.00	1.46	0.371	0.429	-	-	-	-	-	0.15	0.00	1.46	0.371	0.427
EFHC1	ENSG00000096093	OMIM	AD	0.19	0.04	1.53	0.238	0.280	-	-	-	-	-	0.19	0.04	1.53	0.238	0.279
EGF	ENSG00000138798	OMIM	Other	0.11	0.20	-0.43	0.679	0.734	-	-	-	-	-	0.11	0.20	-0.43	0.679	0.731
EHHADH	ENSG00000113790	OMIM	AD	0.23	0.16	0.68	0.530	0.592	-	-	-	-	-	0.23	0.16	0.68	0.530	0.589
EIF2B2	ENSG00000119718	OMIM	AR	-	-	-	-	-	0.04	0.08	-0.45	0.733	0.780	0.04	0.08	-0.45	0.733	0.779
EIF2B5	ENSG00000145191	OMIM	AR	-	-	-	-	-	0.08	0.12	-1.37	0.272	0.318	0.11	0.12	-1.02	0.383	0.439
ELAC2	ENSG00000006744	OMIM	AR	0.04	0.08	-1.08	0.439	0.501	-	-	-	-	-	0.04	0.08	-1.08	0.439	0.498
ELMOD3	ENSG00000115459	OMIM	AR	0.08	0.04	0.67	0.649	0.706	-	-	-	-	-	0.08	0.04	0.67	0.649	0.704
ELP2	ENSG00000134759	OMIM	AR	0.08	0.16	-0.43	0.741	0.786	-	-	-	-	-	0.08	0.16	-0.43	0.741	0.784
EMC1	ENSG00000127463	OMIM	AR	0.15	0.00	1.81	0.271	0.317	-	-	-	-	-	0.15	0.00	1.81	0.271	0.317
